ACC=0.569793, f1_macro=0.583656, precision_macro=0.607521, recall_macro=0.599120, f1_micro=0.569793, precision_micro=0.569793, recall_micro=0.569793, NMI=0.415601, ADJ_RAND_SCORE=0.336193
ACC=0.692393, f1_macro=0.670972, precision_macro=0.702991, recall_macro=0.687448, f1_micro=0.692393, precision_micro=0.692393, recall_micro=0.692393, NMI=0.475976, ADJ_RAND_SCORE=0.452473
ACC=0.555022, f1_macro=0.560960, precision_macro=0.584504, recall_macro=0.584415, f1_micro=0.555022, precision_micro=0.555022, recall_micro=0.555022, NMI=0.398366, ADJ_RAND_SCORE=0.319799
ACC=0.594904, f1_macro=0.599531, precision_macro=0.633483, recall_macro=0.620395, f1_micro=0.594904, precision_micro=0.594904, recall_micro=0.594904, NMI=0.423043, ADJ_RAND_SCORE=0.337823
ACC=0.370015, f1_macro=0.351024, precision_macro=0.356692, recall_macro=0.349703, f1_micro=0.370015, precision_micro=0.370015, recall_micro=0.370015, NMI=0.179400, ADJ_RAND_SCORE=0.122210
ACC=0.466027, f1_macro=0.468810, precision_macro=0.498814, recall_macro=0.451452, f1_micro=0.466027, precision_micro=0.466027, recall_micro=0.466027, NMI=0.321913, ADJ_RAND_SCORE=0.221066
ACC=0.491137, f1_macro=0.494586, precision_macro=0.569200, recall_macro=0.511866, f1_micro=0.491137, precision_micro=0.491137, recall_micro=0.491137, NMI=0.352236, ADJ_RAND_SCORE=0.223397
ACC=0.646972, f1_macro=0.626921, precision_macro=0.647860, recall_macro=0.638614, f1_micro=0.646972, precision_micro=0.646972, recall_micro=0.646972, NMI=0.446374, ADJ_RAND_SCORE=0.411299
ACC=0.649557, f1_macro=0.634370, precision_macro=0.651110, recall_macro=0.648188, f1_micro=0.649557, precision_micro=0.649557, recall_micro=0.649557, NMI=0.440732, ADJ_RAND_SCORE=0.408299
ACC=0.641433, f1_macro=0.628711, precision_macro=0.642729, recall_macro=0.648108, f1_micro=0.641433, precision_micro=0.641433, recall_micro=0.641433, NMI=0.426455, ADJ_RAND_SCORE=0.385607
ACC=0.639956, f1_macro=0.627122, precision_macro=0.635546, recall_macro=0.646989, f1_micro=0.639956, precision_micro=0.639956, recall_micro=0.639956, NMI=0.424802, ADJ_RAND_SCORE=0.388137
